,DAI-USDC 500 10,LINK-WETH 3000 60,UNI-WETH 3000 60,USDC-USDT 500 10,USDC-WETH 3000 60,USDC-WETH 500 10,WBTC-PAX 3000 60,WBTC-USDC 3000 60,WBTC-WETH 3000 60,WETH-USDT 3000 60
 $0.14 ,,,71.84881028,,,,,,,
 $0.14 ,,,,0.299535496,,,,,,
 $0.14 ,,,,,,0.399580308,,,,
 $0.15 ,,,,0.299535496,,,,,,
 $0.15 ,,,,0.299535496,,,,,,
 $0.15 ,,,,,4.112820593,,,,,
 $0.15 ,,,,0.099945022,,,,,,
 $0.15 ,,,16.9718684,,,,,,,
 $0.15 ,,,33.94373679,,,,,,,
 $0.15 ,,,26.80070535,,,,,,,
 $0.15 ,,,,0.099945022,,,,,,
 $0.15 ,,,16.9718684,,,,,,,
 $0.15 ,,,16.9718684,,,,,,,
 $0.15 ,,,16.9718684,,,,,,,
 $0.15 ,,,,,2.385538867,,,,,
 $0.15 ,,,16.9718684,,,,,,,
 $0.15 ,,,,0.099945022,,,,,,
 $0.16 ,,,,,,1.398531077,,,,
 $0.16 ,,,,,,0.199790154,,,,
 $0.16 ,,,,,,0.799160616,,,,
 $0.16 ,,,,,,0.399580308,,,,
 $0.16 ,,,,0.399780088,3.535797028,,,,,
 $0.16 ,,,,0.099945022,,,,,,
 $0.16 ,,,,0.099945022,,,,,,
 $0.17 ,,,,0.099945022,,,,,,
 $0.17 ,,,74.99090693,,,,,,,
 $0.17 ,,,,,4.686392555,,,,,
 $0.17 ,,,,,4.112820593,,,,,
 $0.17 ,,,,0.099945022,,,,,,
 $0.17 ,,,,,99.00259605,,,,,
 $0.17 ,,,,,8.225641187,,,,,
 $0.17 ,,,,,,,,,,8.056488254
 $0.18 ,,,,,,40.00892901,,,,
 $0.18 ,,,,,5.25653356,,,,,
 $0.18 ,,,,,10.51306712,,,,,
 $0.18 ,,,,,5.25653356,,,,,
 $0.18 ,,,,,4.112820593,,,,,
 $0.18 ,,,,,4.112820593,,,,,
 $0.18 ,,,18.45293116,,,,,,,
 $0.18 ,,,18.45293116,,,,,,,
 $0.19 ,,,,,,,,,74.99090693,
 $0.19 ,,,,,,,,,,46.0961942
 $0.19 ,,,,,,,,,,23.66102007
 $0.19 ,,,,,,0.399580308,,,,
 $0.19 ,,,,,,0.199790154,,,,
 $0.19 ,,,74.99090693,,,,,,,
 $0.19 ,,,,,,0.399580308,,,,
 $0.19 ,,,,,,0.399580308,,,,
 $0.19 ,,,,,,,,,,32.94445432
 $0.19 ,,,,,,,,,74.99090693,
 $0.19 ,,,,19.58657939,,,,,,
 $0.19 ,,,,,9.485247511,,,,,
 $0.20 ,,,,,74.99090693,,,,,
 $0.20 ,,,,,74.99090693,,,,,
 $0.20 ,,,,,74.99090693,,,,,
 $0.20 ,,,,,75.14050477,,,,,
 $0.20 ,,,,,,0.199790154,,,,
 $0.20 ,,,,,74.99090693,,,,,
 $0.20 ,,,,,78.25329196,,,,,
 $0.20 ,,,,0.099945022,,,,,,
 $0.20 ,,,,,4.686392555,,,,,
 $0.20 ,,,,0.099945022,,,,,,
 $0.20 ,,,,,4.112820593,,,,,
 $0.20 ,,,,,,99.999999,,,,
 $0.20 ,,,,,,99.999999,,,,
 $0.20 ,,,,,1.783808376,,,,,
 $0.21 ,,,,0.099945022,,,,,,
 $0.21 ,,,,0.099945022,,,,,,
 $0.21 ,,,,,1.192769433,,,,,
 $0.21 ,,,,,12.33846178,,,,,
 $0.21 ,,,,,40.3081208,,,,,
 $0.21 ,,,,,4.112820593,,,,,
 $0.21 ,,,64.36879558,,,,,,,
 $0.21 ,,,,,1.192769433,,,,,
 $0.21 ,,,,,99.90038916,,,,,
 $0.21 ,,,,,99.90038916,,,,,
 $0.21 ,,,,,199.8007783,,,,,
 $0.21 ,,,,,99.90038916,,,,,
 $0.21 ,,,,,199.8007783,,,,,
 $0.21 ,,,,,99.90038916,,,,,
 $0.21 ,,,,,99.90038916,,,,,
 $0.21 ,,,,,199.8007783,,,,,
 $0.21 ,,,,,99.90038916,,,,,
 $0.21 ,,,,,1.783808376,,,,,
 $0.21 ,,,,,5.823264131,,,,,
 $0.22 ,,,,,4.112820593,,,,,
 $0.22 ,,,,,3.535797028,,,,,
 $0.22 ,,,,,4.112820593,,,,,
 $0.22 ,,,,,4.112820593,,,,,
 $0.22 ,,,,,4.112820593,,,,,
 $0.22 ,,,,,3.535797028,,,,,
 $0.22 ,,,,,4.112820593,,,,,
 $0.22 ,,,,,5.823264131,,,,,
 $0.22 ,0.299535496,,,,,,,,,
 $0.22 ,,,,,97.50233905,,,,,
 $0.22 ,,,,,2.955301088,,,,,
 $0.22 ,,,,,,,,,,90.0129887
 $0.23 ,,,,,5.823264131,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,97.50233905,,,,,
 $0.23 ,,,,,195.0046781,,,,,
 $0.24 ,,,,,,0.399580308,,,,
 $0.24 ,,,,,,,,,,87.45560466
 $0.24 ,,,,,359.8115581,,,,,359.8115581
 $0.24 ,,,,,,0.599370462,,,,
 $0.24 ,,,,,,0.199790154,,,,
 $0.24 ,,,,,,,,,,1.192769433
 $0.25 ,,,,,,20.78371984,,,,
 $0.26 ,,,,,4.112820593,,,,,
 $0.26 ,,,,,,,,,,5.823264131
 $0.26 ,,,,,,,,,,23.66102007
 $0.26 ,,,,,,,,,,0.598173776
 $0.26 ,,,,,5.25653356,,,,,
 $0.26 ,,,,,5.25653356,,,,,
 $0.26 ,,,,,5.25653356,,,,,
 $0.26 ,,,,,180.0259774,,,,,
 $0.27 ,,,,,90.0129887,,,,,
 $0.27 ,,,58.85038451,,,,,,,
 $0.27 ,,,,,6.386604668,,,,,
 $0.27 ,,,,,2.371311878,,,,,
 $0.27 ,,,,,8.056488254,,,,,
 $0.27 ,,,,,180.0259774,,,,,
 $0.27 ,,,,,90.0129887,,,,,
 $0.27 ,,,,,180.0259774,,,,,
 $0.27 ,,,,,90.0129887,,,,,
 $0.27 ,,,,,90.0129887,,,,,
 $0.27 ,,,,,180.0259774,,,,,
 $0.27 ,,,,,90.0129887,,,,,
 $0.28 ,,,,,90.0129887,,,,,
 $0.28 ,,,,,90.0129887,,,,,
 $0.28 ,,,,,4.112820593,,,,,
 $0.28 ,,,,,270.0389661,,,,,
 $0.28 ,,,,,90.0129887,,,,,
 $0.28 ,,,,,180.0259774,,,,,
 $0.28 ,,,,,90.0129887,,,,,
 $0.28 ,,,1.783808376,,,,,,,
 $0.28 ,,,,,90.0129887,,,,,
 $0.28 ,,,,,89.13788357,,,,,
 $0.28 ,,,,,89.2028579,,,,,
 $0.28 ,,,,,89.2028579,,,,,
 $0.28 ,,,,,178.4057158,,,,,
 $0.28 ,,,,,89.13788357,,,,,
 $0.28 ,,,,,89.2028579,,,,,
 $0.28 ,,,,,89.26744357,,,,,
 $0.28 ,,,,,10.51306712,,,,,
 $0.29 ,,,,,90.19113785,,,,,
 $0.29 ,,,,,6.386604668,,,,,
 $0.30 ,,,,,0.598173776,,,,,
 $0.30 ,,,3.535797028,,,,,,,
 $0.30 ,,,4.686392555,,,,,,,
 $0.30 ,,,0.598173776,,,,,,,
 $0.31 ,,,,,30.23111165,,,,,
 $0.31 ,,,,,94.99058132,,,,,
 $0.32 ,,,,,,,,,16.47222716,
 $0.33 ,,,74.99090693,,,,,,,
 $0.34 ,,0.598173776,,,,,,,,
 $0.34 ,,,1.192769433,,,,,,,
 $0.35 ,,,,,1.192769433,,,,,
 $0.35 ,,,,,,,,,,0.598173776
 $0.35 ,,,,,,,,,,21.53425594
 $0.35 ,,,51.06278343,,,,,,,
 $0.36 ,,,,,,,,,86.83882011,
 $0.36 ,,,,,1.192769433,,,,,
 $0.36 ,,,,,15.96957922,,,,,
 $0.37 ,,,,,,,,,,66.64441975
 $0.37 ,,,,,,,,,,19.9075746
 $0.37 ,,,,,,,,,,16.9718684
 $0.37 ,,,,,,,,,,12.88952981
 $0.37 ,,,,,,,,,,10.77369586
 $0.37 ,,,,,,,,,,13.92855687
 $0.37 ,,,,,,,,,,10.23675567
 $0.37 ,,,,,,0.099945022,,,,
 $0.37 ,,,,,,,,,,23.66102007
 $0.37 ,,,,,3.535797028,,,,,
 $0.38 ,,,,,90.0129887,,,,,
 $0.39 ,,,,,,,,,,13.12046377
 $0.39 ,,,,,,0.199790154,,,,
 $0.39 ,,,,,4.686392555,,,,,
 $0.39 ,,,74.99090693,,,,,,,
 $0.40 ,,,,,10.77369586,,,,,
 $0.41 ,,,74.99090693,,,,,,,
 $0.41 ,,,,,,,,,,74.99090693
 $0.41 ,,,,,,,,,,1.192769433
 $0.42 ,,,39.94891094,,,,,,,
 $0.43 ,,,1.192769433,,,,,,,
 $0.43 ,,,,,,,,,,74.99090693
 $0.43 ,,,99.00259605,,,,,,,
 $0.44 ,,,,,,,,,,1.192769433
 $0.44 ,,,,,,40.00892901,,,,
 $0.44 ,,,,,74.99090693,,,,,
 $0.45 ,,,,,,,,,,1.192769433
 $0.46 ,,,,,,,,1.192769433,,
 $0.46 ,,,,,,,,2.385538867,,
 $0.48 ,,,,,,11.30742421,,,,
 $0.48 ,,,,0.299535496,,,,,,
 $0.49 ,,,2.955301088,,,,,,,
 $0.50 ,,,,,,,,,1.192769433,
 $0.50 ,,,63.7216595,,,,,,,
 $0.50 ,,,72.63581664,,,,,,,
 $0.50 ,,,,,6.946575449,,,,,
 $0.50 ,0.099945022,,,,,,,,,
 $0.51 ,,,,,,,,,,4.686392555
 $0.51 ,,,56.30596547,,,,,,,
 $0.52 ,,,,,1.192769433,,,,,
 $0.52 ,,,,,1.192769433,,,,,
 $0.52 ,,,,,,,,,,16.9718684
 $0.53 ,,,,,3.535797028,,,,,
 $0.54 ,,,,,1.192769433,,,,,
 $0.54 ,,2.385538867,,,,,,,,
 $0.54 ,,,,,4.686392555,,,,,
 $0.55 ,,,,,,,,,6.386604668,
 $0.55 ,,,,,0.598173776,,,,,
 $0.56 ,,,1.192769433,,,,,,,
 $0.56 ,,,,,,,,,,5.25653356
 $0.57 ,,,,,,,,,,17.46852091
 $0.58 ,,2.385538867,,,,,,,,
 $0.60 ,,80.08942733,,,,,,,,
 $0.61 ,,,,,,,,2.385538867,,
 $0.61 ,,,,,5.25653356,,,,,
 $0.62 ,,,,,2.385538867,,,,,
 $0.62 ,,1.192769433,,,,,,,,
 $0.63 ,,5.963847167,,,,,,,,
 $0.63 ,,,,,,16.72242249,,,,
 $0.64 ,,,,,,,,13.92855687,,
 $0.64 ,,,,,1.192769433,,,,,
 $0.64 ,,,,,74.99090693,,,,,
 $0.64 ,,,,,1.192769433,,,,,
 $0.65 ,,,,0.099945022,,,,,,
 $0.65 ,,,,,1.192769433,,,,,
 $0.66 ,,,,,0.598173776,,,,,
 $0.66 ,,,,,1.192769433,,,,,
 $0.66 ,,,,,11.30742421,,,,,
 $0.66 ,,,,,,,,,5.823264131,
 $0.69 ,,,,,1.192769433,,,,,
